,Date,Open*,High,Low,Close**,Volume,Market Cap
0,2018-10-26,5.37,5.41,5.33,5.39,355795000,4865727228
1,2018-10-25,5.38,5.4,5.36,5.37,291321000,4876191288
2,2018-10-24,5.41,5.44,5.37,5.38,312068000,4903114800
3,2018-10-23,5.38,5.43,5.35,5.42,329169000,4880072692
4,2018-10-22,5.41,5.48,5.37,5.38,348657000,4904386130
5,2018-10-21,5.37,5.5,5.36,5.42,443995000,4869297929
6,2018-10-20,5.34,5.42,5.33,5.37,366171000,4837238537
7,2018-10-19,5.36,5.37,5.29,5.33,378435000,4853112018
8,2018-10-18,5.42,5.45,5.32,5.35,440484000,4908840108
9,2018-10-17,5.45,5.46,5.37,5.41,401459000,4940517064
10,2018-10-16,5.48,5.51,5.4,5.44,425119000,4963761409
11,2018-10-15,5.16,5.64,5.11,5.47,918475000,4680562403
12,2018-10-14,5.25,5.28,5.16,5.17,372903000,4758648105
13,2018-10-13,5.18,5.28,5.18,5.25,362609000,4692527256
14,2018-10-12,5.04,5.24,5.03,5.18,525307000,4567337076
15,2018-10-11,5.88,5.88,5.07,5.08,758737000,5324615715
16,2018-10-10,5.89,5.9,5.81,5.88,533169000,5341903994
17,2018-10-09,5.92,5.94,5.84,5.91,538883000,5368459762
18,2018-10-08,5.77,5.99,5.72,5.91,627571000,5226386210
19,2018-10-07,5.73,5.79,5.66,5.76,525930000,5193475087
20,2018-10-06,5.81,5.82,5.7,5.73,486075000,5269277407
21,2018-10-05,5.79,5.83,5.69,5.81,554553000,5247946540
22,2018-10-04,5.63,5.85,5.61,5.78,613679000,5098014680
23,2018-10-03,5.61,5.64,5.49,5.62,595740000,5083643720
24,2018-10-02,5.74,5.76,5.58,5.65,564671000,5202480272
25,2018-10-01,5.74,5.8,5.57,5.74,695608000,5197660279
26,2018-09-30,5.76,5.88,5.45,5.72,828008000,5218259116
27,2018-09-29,5.76,5.81,5.52,5.76,678214000,5223640880
28,2018-09-28,5.83,6.02,5.71,5.77,840105000,5281617350
29,2018-09-27,5.56,5.88,5.41,5.82,753645000,5034478408
30,2018-09-26,5.39,5.73,5.27,5.55,683187000,4885373647
31,2018-09-25,5.68,5.68,5.08,5.38,891486000,5144871546
32,2018-09-24,6.02,6.03,5.63,5.68,654906000,5456365649
33,2018-09-23,5.95,6.1,5.84,6.02,686260000,5389824335
34,2018-09-22,6.18,6.22,5.81,5.93,669024000,5599361368
35,2018-09-21,5.75,6.15,5.65,6.14,1088760000,5213812052
36,2018-09-20,5.25,5.77,5.2,5.74,703866000,4755513857
37,2018-09-19,5.06,5.29,4.97,5.23,622045000,4587329633
38,2018-09-18,4.86,5.25,4.81,5.1,658606000,4407188335
39,2018-09-17,5.43,5.46,4.76,4.89,696413000,4919293798
40,2018-09-16,5.38,5.46,5.25,5.42,477706000,4876470445
41,2018-09-15,5.25,5.48,5.25,5.4,508734000,4758862010
42,2018-09-14,5.42,5.52,5.18,5.27,606576000,4913151483
43,2018-09-13,4.96,5.51,4.95,5.39,718438000,4491479443
44,2018-09-12,5.0,5.0,4.8,4.94,707279000,4530438245
45,2018-09-11,5.07,5.08,4.79,4.98,582087000,4595419564
46,2018-09-10,4.99,5.09,4.94,5.04,536130000,4526488996
47,2018-09-09,4.76,5.18,4.71,4.97,621964000,4316328398
48,2018-09-08,5.1,5.19,4.69,4.76,531005000,4620424412
49,2018-09-07,5.23,5.33,5.0,5.09,651853000,4735262885
50,2018-09-06,5.21,5.24,4.97,5.24,844070000,4719735542
51,2018-09-05,6.48,6.57,5.22,5.22,1009270000,5871207852
52,2018-09-04,6.46,6.6,6.36,6.48,765275000,5850403321
53,2018-09-03,6.64,6.68,6.39,6.47,720704000,6014082143
54,2018-09-02,6.65,6.67,6.35,6.6,903575000,6027128620
55,2018-09-01,6.44,6.73,6.44,6.64,746530000,5833687616
56,2018-08-31,6.06,6.46,5.96,6.43,899621000,5492194955
57,2018-08-30,6.12,6.24,5.8,6.08,744458000,5548644273
58,2018-08-29,5.9,6.44,5.8,6.12,955876000,5349333628
59,2018-08-28,5.35,5.95,5.3,5.9,622686000,4847583329
60,2018-08-27,4.95,5.36,4.93,5.36,552155000,4487532788
61,2018-08-26,5.04,5.05,4.87,4.95,361901000,4570171426
62,2018-08-25,5.06,5.06,4.94,5.05,356801000,4585735068
63,2018-08-24,4.91,5.08,4.83,5.05,616336000,4450074346
64,2018-08-23,4.73,4.93,4.7,4.92,442313000,4287450789
65,2018-08-22,4.91,5.27,4.6,4.72,571812000,4447905911
66,2018-08-21,4.73,4.94,4.72,4.91,412303000,4289026339
67,2018-08-20,5.3,5.35,4.74,4.76,560766000,4803872379
68,2018-08-19,5.1,5.38,5.01,5.31,659969000,4620315947
69,2018-08-18,5.54,5.62,4.9,5.1,824713000,5018727652
70,2018-08-17,4.52,5.51,4.52,5.51,1009130000,4096350640
71,2018-08-16,4.64,4.81,4.49,4.52,654120000,4206137065
72,2018-08-15,4.66,4.9,4.58,4.64,692546000,4224787854
73,2018-08-14,4.62,4.62,4.27,4.58,588931000,4189656440
74,2018-08-13,5.01,5.2,4.55,4.62,666517000,4536827739
75,2018-08-12,5.03,5.19,4.99,5.01,602163000,4558969717
76,2018-08-11,5.28,5.28,4.91,5.02,651458000,4784832240
77,2018-08-10,5.8,5.86,5.22,5.28,771704000,5260380255
78,2018-08-09,5.61,5.95,5.48,5.8,711726000,5084729234
79,2018-08-08,6.6,6.6,5.48,5.59,885000000,5978783494
80,2018-08-07,7.06,7.18,6.59,6.61,572786000,6395908647
81,2018-08-06,7.06,7.17,6.97,7.07,477949000,6394876718
82,2018-08-05,7.0,7.08,6.95,7.06,481289000,6339489579
83,2018-08-04,7.2,7.3,6.92,6.99,465467000,6524121153
84,2018-08-03,7.05,7.26,6.92,7.2,521404000,6386548250
85,2018-08-02,7.24,7.33,6.96,7.06,559363000,6558379662
86,2018-08-01,7.36,7.39,6.98,7.26,699077000,6672807179
87,2018-07-31,7.77,7.77,7.18,7.37,708842000,6961992305
88,2018-07-30,8.34,8.34,7.5,7.77,849398000,7472990390
89,2018-07-29,8.34,8.42,8.17,8.34,615336000,7473627136
90,2018-07-28,8.43,8.43,8.15,8.32,527104000,7550309888
91,2018-07-27,8.31,8.51,8.03,8.41,694945984,7448687104
92,2018-07-26,8.52,8.79,8.25,8.32,644028992,7635130880
93,2018-07-25,8.56,8.84,8.38,8.51,835307008,7667562496
94,2018-07-24,7.97,8.62,7.79,8.6,1007480000,7138045952
95,2018-07-23,7.88,8.39,7.88,7.97,630787008,7061182976
96,2018-07-22,8.02,8.24,7.82,7.9,497159008,7189610496
97,2018-07-21,7.9,8.24,7.7,8.05,551660032,7078066688
98,2018-07-20,8.4,8.43,7.8,7.9,810102976,7529680896
99,2018-07-19,8.58,8.7,8.19,8.39,852908992,7686309888
100,2018-07-18,8.77,9.21,8.46,8.61,929459008,7862690304
101,2018-07-17,8.07,8.91,7.87,8.78,847793984,7233440768
102,2018-07-16,7.4,8.11,7.27,8.11,716972032,6630412800
103,2018-07-15,6.98,7.52,6.92,7.4,501440000,6258305024
104,2018-07-14,6.96,7.09,6.85,6.99,396983008,6238633984
105,2018-07-13,6.91,7.22,6.79,6.96,586718016,6196129792
106,2018-07-12,7.17,7.18,6.65,6.9,597379968,6427139072
107,2018-07-11,7.21,7.41,6.85,7.19,599606976,6461273600
108,2018-07-10,7.75,7.85,7.18,7.21,707110016,6941618688
109,2018-07-09,8.71,8.74,7.7,7.75,707878016,7804520960
110,2018-07-08,9.04,9.14,8.7,8.71,491667008,8099587072
111,2018-07-07,8.67,9.02,8.47,9.02,490260992,7771829760
112,2018-07-06,8.9,8.92,8.3,8.68,604649984,7979010048
113,2018-07-05,8.88,9.15,8.73,8.93,958548992,7960997888
114,2018-07-04,8.85,9.39,8.56,8.89,935387008,7934507520
115,2018-07-03,8.91,9.35,8.77,8.84,1006099968,7983562752
116,2018-07-02,8.14,8.99,7.94,8.89,1024129984,7295588864
117,2018-07-01,8.15,8.22,7.81,8.13,621643008,7300490752
118,2018-06-30,7.74,8.25,7.74,8.13,832537984,6936716800
119,2018-06-29,7.47,7.85,7.18,7.73,802745984,6694684672
120,2018-06-28,8.01,8.05,7.39,7.45,724915008,7179860992
121,2018-06-27,7.48,8.18,7.41,8.01,716035968,6706324992
122,2018-06-26,8.26,8.3,7.49,7.51,629339008,7405456896
123,2018-06-25,8.07,8.51,7.77,8.24,905011968,7233308160
124,2018-06-24,8.46,8.46,7.1,8.09,1397600000,7583004160
125,2018-06-23,8.67,8.79,8.19,8.41,709977024,7769804288
126,2018-06-22,10.42,10.44,8.48,8.66,1258310016,9334825984
127,2018-06-21,10.43,10.8,10.28,10.42,662139008,9345892352
128,2018-06-20,10.73,10.77,10.18,10.42,852286976,9616001024
129,2018-06-19,10.72,10.84,10.5,10.73,715926016,9605827584
130,2018-06-18,10.44,10.83,10.23,10.72,720630016,9358605312
131,2018-06-17,10.63,10.76,10.43,10.44,432120992,9521623040
132,2018-06-16,10.65,10.81,10.35,10.63,680969984,9542286336
133,2018-06-15,11.29,11.29,10.57,10.66,936732992,10118561792
134,2018-06-14,10.17,11.57,9.73,11.3,1409440000,9114451968
135,2018-06-13,10.26,10.34,9.44,10.15,1266409984,9193736192
136,2018-06-12,11.55,11.55,9.96,10.22,1052700032,10347104256
137,2018-06-11,11.31,11.64,10.65,11.59,1570569984,10139694080
138,2018-06-10,14.04,14.04,10.56,11.39,2317139968,12585908224
139,2018-06-09,14.04,14.82,14.04,14.1,1175320064,12579904512
140,2018-06-08,14.57,14.72,13.71,14.04,1105590016,13054181376
141,2018-06-07,13.99,14.59,13.74,14.59,1017480000,12541327360
142,2018-06-06,14.25,14.26,13.48,13.94,1022289984,12773762048
143,2018-06-05,13.58,14.23,12.97,14.2,1445139968,12171719680
144,2018-06-04,14.6,14.82,13.39,13.55,1297159936,13084895232
145,2018-06-03,14.81,15.29,14.29,14.62,1631840000,13269059584
146,2018-06-02,12.29,15.61,12.2,14.74,2884720128,10990515200
147,2018-06-01,12.29,12.4,11.99,12.31,1058150016,10956698624
148,2018-05-31,11.97,12.72,11.95,12.28,1142809984,10653267968
149,2018-05-30,12.18,12.58,11.81,12.01,1269209984,10813252608
150,2018-05-29,11.7,12.49,10.93,12.18,1877299968,10363043840
151,2018-05-28,12.5,12.98,11.59,11.64,1580160000,11043794944
152,2018-05-27,12.29,12.59,12.15,12.51,939929024,10835191808
153,2018-05-26,12.27,12.83,12.0,12.35,1085629952,10791675904
154,2018-05-25,12.81,12.88,11.8,12.29,1624390016,11235322880
155,2018-05-24,10.92,12.96,10.53,12.75,2161890048,9557940224
156,2018-05-23,12.33,12.46,10.76,10.88,1591750016,10763413504
157,2018-05-22,13.52,13.53,12.25,12.27,991158976,11773025280
158,2018-05-21,14.03,14.17,13.26,13.51,1063000000,12187271168
159,2018-05-20,13.17,14.19,13.05,14.01,1228359936,11420258304
160,2018-05-19,13.04,13.35,12.66,13.17,1018750016,11276930048
161,2018-05-18,12.37,13.18,12.08,13.0,1343680000,10676366336
162,2018-05-17,12.87,13.94,12.21,12.43,1644329984,11075887104
163,2018-05-16,12.93,13.17,12.06,12.77,1534140032,11104685056
164,2018-05-15,14.05,14.44,12.65,12.99,1371869952,12031253504
165,2018-05-14,14.93,15.02,13.39,14.02,1702960000,12757275648
166,2018-05-13,14.23,15.26,13.8,14.94,1589949952,12121968640
167,2018-05-12,14.98,15.24,12.59,14.25,3091069952,12733082624
168,2018-05-11,17.46,17.78,14.56,14.9,2919820032,14807289856
169,2018-05-10,17.97,18.73,17.52,17.54,1287810048,15199423488
170,2018-05-09,18.12,18.14,17.28,17.94,1199539968,15271884800
171,2018-05-08,17.98,18.88,17.9,18.14,1449939968,15122586624
172,2018-05-07,17.67,18.4,16.88,17.98,2000850048,14823508992
173,2018-05-06,17.74,17.9,16.86,17.47,1434829952,14847180800
174,2018-05-05,17.14,18.57,17.14,17.8,1614729984,14310404096
175,2018-05-04,17.71,18.06,16.47,17.15,1749309952,14751162368
176,2018-05-03,19.27,19.27,17.18,17.77,2266540032,16009756672
177,2018-05-02,18.93,19.51,18.42,19.21,2410370048,15694998528
178,2018-05-01,17.67,19.08,16.31,18.95,3330129920,14610737152
179,2018-04-30,21.64,21.64,16.86,17.58,4073370112,17849051136
180,2018-04-29,18.88,22.89,18.88,21.54,4870720000,15530878976
181,2018-04-28,16.69,19.51,16.69,18.87,2728300032,13698926592
182,2018-04-27,15.47,17.95,14.99,16.67,2486409984,12669789184
183,2018-04-26,14.43,15.49,14.0,15.49,1566850048,11789935616
184,2018-04-25,15.1,15.54,13.6,14.46,3005040128,12303890432
185,2018-04-24,11.73,16.0,11.73,15.31,3223780096,9530671104
186,2018-04-23,11.33,11.79,11.32,11.61,662115968,9186096128
187,2018-04-22,11.07,11.83,10.81,11.35,1001900032,8955947008
188,2018-04-21,11.58,11.65,10.31,11.11,1142259968,9340279808
189,2018-04-20,9.51,11.57,9.51,11.45,1512339968,7652013056
190,2018-04-19,9.02,9.44,8.96,9.44,554115968,7233092608
191,2018-04-18,8.49,9.15,8.49,9.03,518188992,6792736256
192,2018-04-17,8.13,8.99,8.09,8.51,798768000,6492149248
193,2018-04-16,8.39,8.39,7.84,8.1,455204000,6667985920
194,2018-04-15,8.63,8.63,7.72,8.4,861262976,6845829632
195,2018-04-14,8.75,8.93,8.08,8.6,811486976,6916385280
196,2018-04-13,8.71,9.27,8.53,8.74,936742976,6866657280
197,2018-04-12,8.5,9.05,8.0,8.7,1717360000,6683279872
198,2018-04-11,6.0,8.82,5.99,8.49,1818530048,4706766848
199,2018-04-10,5.88,6.07,5.8,6.0,225494000,4600684544
200,2018-04-09,5.98,6.07,5.8,5.87,226564992,4666275840
201,2018-04-08,5.9,6.01,5.85,5.97,166915008,4587799552
202,2018-04-07,5.88,6.04,5.85,5.91,220028000,4561696768
203,2018-04-06,6.36,6.41,5.76,5.89,451440992,4918338048
204,2018-04-05,5.72,6.46,5.5,6.4,542464000,4419564032
205,2018-04-04,6.11,6.14,5.61,5.73,260820000,4702424576
206,2018-04-03,5.9,6.19,5.82,6.13,306368992,4529743872
207,2018-04-02,5.68,5.96,5.56,5.89,314995008,4348742144
208,2018-04-01,6.0,6.04,5.25,5.66,401303008,4580828160
209,2018-03-31,6.11,6.22,5.96,5.99,224212992,4650945024
210,2018-03-30,6.03,6.2,5.86,6.1,506609984,4576615936
211,2018-03-29,6.31,6.37,5.92,6.02,626902976,4776997376
212,2018-03-28,5.88,6.55,5.82,6.29,616041984,4442050560
213,2018-03-27,5.9,6.44,5.28,5.91,877542976,4447057920
214,2018-03-26,6.53,6.57,5.42,5.9,553672000,4906945024
215,2018-03-25,6.6,6.76,6.49,6.52,274460000,4947109376
216,2018-03-24,6.99,7.12,6.63,6.63,357179008,5218489856
217,2018-03-23,7.02,7.14,6.42,7.01,846830016,5227641344
218,2018-03-22,7.01,7.34,6.32,7.03,1062430016,5202795520
219,2018-03-21,6.07,7.24,5.98,7.03,765790016,4492160512
220,2018-03-20,6.17,6.4,5.45,6.01,667072000,4553120256
221,2018-03-19,4.71,6.36,4.57,6.36,660668992,3468420352
222,2018-03-18,4.65,4.68,3.95,4.65,333500992,3417960704
223,2018-03-17,5.09,5.11,4.61,4.67,140080000,3725279744
224,2018-03-16,5.18,5.32,4.95,5.09,184719008,3785349888
225,2018-03-15,5.35,5.38,4.87,5.17,293299008,3899389696
226,2018-03-14,5.87,5.97,5.25,5.34,210732992,4266074880
227,2018-03-13,5.82,5.98,5.66,5.86,199199008,4213560064
228,2018-03-12,6.15,6.23,5.72,5.83,206551008,4441010176
229,2018-03-11,5.79,6.24,5.61,6.14,271828992,4165573632
230,2018-03-10,6.17,6.5,5.8,5.8,309652992,4434696704
231,2018-03-09,6.2,6.24,5.38,6.13,429200992,4444674048
232,2018-03-08,6.51,6.76,6.12,6.2,299364992,4651410944
233,2018-03-07,7.25,7.37,6.17,6.51,423460000,5162590208
234,2018-03-06,8.0,8.0,7.16,7.25,233026000,5682732544
235,2018-03-05,8.18,8.29,8.05,8.05,183715008,5786712576
236,2018-03-04,8.0,8.18,7.79,8.18,195810000,5638257664
237,2018-03-03,8.11,8.3,7.96,8.0,141850000,5702861824
238,2018-03-02,8.68,8.74,8.03,8.09,211631008,6086744576
239,2018-03-01,8.39,8.63,8.3,8.63,214126000,5859144192
