,Date,Open*,High,Low,Close**,Volume,Market Cap
0,2018-10-26,202.34,204.78,201.55,203.33,1161310000,20799852487
1,2018-10-25,203.87,204.13,201.82,202.72,1102900000,20953232970
2,2018-10-24,204.13,205.58,203.35,203.85,1102220000,20975699037
3,2018-10-23,204.02,205.15,201.91,204.34,1237490000,20960149903
4,2018-10-22,205.17,206.93,203.38,204.04,1328980000,21074931431
5,2018-10-21,205.39,208.16,204.62,205.14,1190300000,21092979492
6,2018-10-20,203.51,206.22,203.09,205.43,1238780000,20896182413
7,2018-10-19,203.26,204.66,201.84,203.73,1264480000,20865562767
8,2018-10-18,207.4,208.47,201.74,203.35,1365860000,21287050429
9,2018-10-17,210.22,211.13,205.93,207.08,1444130000,21571524527
10,2018-10-16,209.63,212.17,207.98,210.12,1532280000,21506787251
11,2018-10-15,195.27,222.12,194.16,209.7,2865830000,20029798682
12,2018-10-14,199.69,201.83,195.24,195.72,1169260000,20479177355
13,2018-10-13,196.36,201.28,196.36,199.84,1167610000,20133928471
14,2018-10-12,188.71,199.4,188.71,196.73,1487900000,19344966173
15,2018-10-11,225.61,225.61,189.28,189.5,2167620000,23123377668
16,2018-10-10,227.62,227.71,224.5,225.77,1384040000,23324309565
17,2018-10-09,229.71,230.16,226.4,227.98,1405130000,23534297243
18,2018-10-08,226.51,230.76,224.56,229.25,1470740000,23201746333
19,2018-10-07,225.44,226.37,223.0,226.12,1470480000,23087109194
20,2018-10-06,227.55,227.93,224.25,225.12,1505070000,23299225467
21,2018-10-05,222.27,228.32,220.96,227.6,1547330000,22753560914
22,2018-10-04,220.45,226.15,220.09,222.22,1479500000,22562709805
23,2018-10-03,226.41,226.46,213.97,220.49,1683930000,23168243633
24,2018-10-02,231.1,231.17,225.84,227.18,1542080000,23643704719
25,2018-10-01,233.22,234.15,226.94,230.77,1597500000,23855852479
26,2018-09-30,231.33,236.99,228.44,232.85,1765560000,23657737547
27,2018-09-29,221.71,234.01,216.08,231.63,2208720000,22668968228
28,2018-09-28,229.04,231.75,218.67,222.4,2018120000,23414405283
29,2018-09-27,215.44,230.61,212.65,228.49,2030320000,22019534943
30,2018-09-26,218.65,221.44,209.11,215.85,1756100000,22342857545
31,2018-09-25,228.33,228.33,206.49,218.5,2120360000,23327387770
32,2018-09-24,244.84,245.11,227.49,228.73,1748740000,25009868628
33,2018-09-23,240.99,247.46,237.86,244.33,1693470000,24611501926
34,2018-09-22,247.34,251.2,233.81,240.48,1921820000,25254412109
35,2018-09-21,225.25,248.39,221.57,246.58,2836200000,22994636921
36,2018-09-20,210.29,224.82,207.79,224.59,1782070000,21462913951
37,2018-09-19,209.47,213.87,201.66,209.97,1733330000,21375333033
38,2018-09-18,197.09,213.36,195.93,209.97,1800640000,20108282257
39,2018-09-17,221.58,224.26,195.31,197.88,2019910000,22602064199
40,2018-09-16,222.8,222.8,211.12,220.59,1502260000,22721984527
41,2018-09-15,209.81,226.6,209.61,223.07,1670490000,21393105695
42,2018-09-14,212.67,222.79,204.87,211.75,2232190000,21679865533
43,2018-09-13,183.68,214.0,183.68,211.35,2330720000,18720806713
44,2018-09-12,185.42,185.59,170.26,183.33,1874850000,18894773430
45,2018-09-11,198.18,198.51,180.6,185.07,1568900000,20190354865
46,2018-09-10,197.85,201.88,189.58,197.08,1502960000,20153125179
47,2018-09-09,198.38,207.67,188.31,196.92,1585980000,20203492382
48,2018-09-08,217.91,220.37,193.26,197.95,1517200000,22187693065
49,2018-09-07,229.53,233.9,217.07,217.2,1678260000,23366572107
50,2018-09-06,231.65,231.75,218.12,230.22,2097310000,23576873426
51,2018-09-05,286.05,288.16,232.33,232.33,2390390000,29107551074
52,2018-09-04,289.3,291.58,284.25,285.72,1554870000,29432488855
53,2018-09-03,295.18,295.59,287.43,289.26,1394490000,30025069120
54,2018-09-02,295.45,298.69,290.93,294.37,1321050000,30046692957
55,2018-09-01,283.5,301.14,283.5,295.34,1546630000,28824991126
56,2018-08-31,284.12,284.55,278.51,283.0,1411910000,28882613519
57,2018-08-30,289.75,291.24,275.21,284.11,1513100000,29449252259
58,2018-08-29,296.16,297.07,287.29,289.31,1474460000,30094775053
59,2018-08-28,286.65,297.4,283.57,296.5,1513350000,29122157621
60,2018-08-27,275.35,285.6,273.65,285.6,1406790000,27968567433
61,2018-08-26,279.52,279.52,272.44,275.2,1206650000,28386921151
62,2018-08-25,283.28,283.51,278.47,279.65,1208360000,28762556561
63,2018-08-24,278.11,283.3,273.86,282.97,1450170000,28231866915
64,2018-08-23,271.75,279.55,271.09,277.1,1271160000,27580425754
65,2018-08-22,281.97,297.49,265.0,271.34,1507660000,28611999411
66,2018-08-21,273.33,285.97,273.33,281.94,1164120000,27729942831
67,2018-08-20,301.38,304.37,273.51,274.31,1413790000,30569460458
68,2018-08-19,295.67,307.1,291.33,300.83,1447910000,29984192045
69,2018-08-18,316.79,320.45,286.55,295.81,1764020000,32119577919
70,2018-08-17,287.68,316.17,287.35,315.73,1995460000,29162476049
71,2018-08-16,282.74,298.48,280.93,288.05,1552970000,28655663078
72,2018-08-15,280.39,303.59,280.12,282.36,1878150000,28411365408
73,2018-08-14,286.37,286.37,254.65,278.93,2137850000,29011325541
74,2018-08-13,320.21,323.55,284.93,286.5,1751190000,32433585929
