,Date,Open*,High,Low,Close**,Volume,Market Cap
0,2018-10-07,57.93,58.36,57.21,58.16,435270000,3395548147
1,2018-10-06,58.88,58.92,57.27,57.84,375900000,3449817015
2,2018-10-05,58.33,59.13,57.67,58.77,371790000,3417091206
3,2018-10-04,57.52,59.05,57.44,58.28,343602000,3368882119
4,2018-10-03,59.58,59.58,57.08,57.48,452464000,3488398355
5,2018-10-02,60.3,61.25,59.41,59.71,444830000,3530057719
6,2018-10-01,61.1,61.73,59.74,60.21,456583000,3575833193
7,2018-09-30,61.63,62.39,60.15,61.14,463002000,3605714979
8,2018-09-29,61.64,62.03,59.49,61.61,356028000,3605938631
9,2018-09-28,63.17,64.42,60.81,61.9,459862000,3694341294
10,2018-09-27,57.45,64.3,56.92,62.98,574277000,3358935258
11,2018-09-26,57.45,59.62,56.7,57.4,294136000,3358146782
12,2018-09-25,58.02,58.15,54.74,57.54,351579000,3390746706
13,2018-09-24,61.34,61.34,57.3,57.97,296366000,3583790265
14,2018-09-23,60.55,63.19,60.0,61.37,304888000,3536650635
15,2018-09-22,60.81,61.71,57.74,60.44,298424000,3551269062
16,2018-09-21,56.78,62.06,56.46,60.72,398550000,3314968599
17,2018-09-20,54.37,57.15,53.64,56.63,260631000,3173459237
18,2018-09-19,54.02,54.92,52.26,54.33,271642000,3152041510
19,2018-09-18,52.29,55.1,51.0,54.1,296552000,3050639534
20,2018-09-17,57.02,57.75,51.85,52.54,261325000,3325555080
21,2018-09-16,56.58,57.37,55.06,56.97,253978000,3299168865
22,2018-09-15,56.34,58.4,56.18,56.71,252020000,3284120510
23,2018-09-14,54.65,58.44,53.32,56.58,336190000,3184827073
24,2018-09-13,51.88,55.05,51.76,54.54,295074000,3022963505
25,2018-09-12,52.39,52.41,47.67,51.66,290357000,3051719206
26,2018-09-11,54.61,54.78,51.08,52.37,272379000,3180107654
27,2018-09-10,54.99,56.07,53.5,54.6,251240000,3201828775
28,2018-09-09,53.27,56.4,52.72,54.92,253320000,3100996124
29,2018-09-08,56.13,57.61,52.58,53.24,223684000,3266162074
30,2018-09-07,57.34,58.12,55.51,56.2,229626000,3336112275
31,2018-09-06,58.32,58.32,54.91,57.49,351270000,3392254978
32,2018-09-05,67.67,68.12,58.44,58.44,409226000,3934880105
33,2018-09-04,65.32,68.98,65.23,67.71,308206000,3797429073
34,2018-09-03,65.82,66.2,64.32,65.37,235034000,3825380407
35,2018-09-02,65.98,66.9,64.33,65.65,265104000,3834196980
36,2018-09-01,61.74,67.25,61.74,65.95,306586000,3586539202
37,2018-08-31,60.42,62.25,59.32,61.93,265252000,3509223899
38,2018-08-30,61.77,62.03,58.92,60.32,219094000,3586334101
39,2018-08-29,63.03,63.39,60.74,61.77,220637000,3658762571
40,2018-08-28,60.23,63.4,59.62,63.02,246764000,3495213551
41,2018-08-27,57.26,60.42,56.93,60.25,228072000,3322225838
42,2018-08-26,58.05,58.11,56.24,57.33,206572000,3367399961
43,2018-08-25,57.92,58.21,57.37,57.91,187571000,3359086797
44,2018-08-24,57.6,58.28,55.95,57.93,194676000,3339735942
45,2018-08-23,55.19,57.81,54.39,57.54,205125000,3199198043
46,2018-08-22,56.66,59.01,54.38,55.32,228893000,3283311296
47,2018-08-21,53.77,56.8,53.77,56.35,187486000,3115224954
48,2018-08-20,57.91,58.55,53.98,54.0,244192000,3353997581
49,2018-08-19,57.22,58.74,56.54,57.94,204484000,3313462882
50,2018-08-18,61.56,62.03,55.8,57.28,243057000,3563463493
51,2018-08-17,55.33,61.51,55.19,61.51,263383000,3202237916
52,2018-08-16,54.54,57.43,54.51,55.36,211779000,3155571817
53,2018-08-15,54.68,58.95,54.3,54.5,282699000,3163069897
54,2018-08-14,57.0,57.05,51.16,54.56,250440000,3296807676
55,2018-08-13,59.48,60.6,56.31,56.85,223061000,3439377606
56,2018-08-12,58.22,61.71,57.96,59.33,276383000,3365435195
