,Date,Open*,High,Low,Close**,Volume,Market Cap
0,2018-10-26,106.22,106.66,104.78,105.02,14102000,1754500630
1,2018-10-25,106.96,106.96,105.09,106.32,12371700,1766512701
2,2018-10-24,108.08,109.09,106.56,106.95,11786500,1784742124
3,2018-10-23,105.48,109.75,105.47,108.44,20239100,1741492939
4,2018-10-22,105.0,106.05,104.05,105.46,15874800,1733285123
5,2018-10-21,103.84,106.14,103.43,105.1,13189200,1713016900
6,2018-10-20,103.76,104.72,103.36,103.78,14535300,1711711230
7,2018-10-19,102.91,104.66,102.63,103.72,18523600,1697720152
8,2018-10-18,105.54,106.62,102.08,102.91,23064100,1741022970
9,2018-10-17,107.65,107.83,104.69,105.36,22030600,1775686293
10,2018-10-16,107.2,108.33,105.92,107.39,19815100,1767842107
11,2018-10-15,100.84,111.27,99.31,107.11,35911700,1662708953
12,2018-10-14,102.15,103.35,100.81,100.91,13930300,1684037548
13,2018-10-13,100.68,102.99,100.68,102.14,12537800,1659543167
14,2018-10-12,100.07,103.64,99.68,100.71,14421900,1649254437
15,2018-10-11,113.58,114.17,100.38,100.38,24185900,1871556364
16,2018-10-10,113.59,113.67,111.03,113.46,164644000,1871459426
17,2018-10-09,114.37,114.93,112.84,113.67,36076800,1883951472
18,2018-10-08,113.57,116.27,112.72,114.28,107293000,1870520297
19,2018-10-07,115.24,115.33,112.63,113.72,25004000,1897659452
20,2018-10-06,114.92,115.3,113.41,115.07,22917000,1892045123
21,2018-10-05,114.47,115.1,113.62,114.88,20766400,1884424961
22,2018-10-04,114.74,116.26,113.45,114.53,25737300,1888462348
23,2018-10-03,116.79,117.6,112.11,114.69,24600100,1921953788
24,2018-10-02,114.4,119.82,112.81,116.83,31906300,1882257331
25,2018-10-01,115.67,117.01,113.11,114.52,20659400,1902972953
26,2018-09-30,114.89,116.72,114.08,116.26,26235500,1889823529
27,2018-09-29,117.0,117.04,112.46,114.86,34176800,1924205322
28,2018-09-28,119.35,121.55,115.9,117.06,35421800,1962427480
29,2018-09-27,115.12,121.08,113.88,119.25,38769800,1892643956
30,2018-09-26,116.45,117.58,113.2,115.59,29067600,1914209650
31,2018-09-25,115.4,116.4,111.93,116.4,30107600,1896621393
32,2018-09-24,122.34,123.23,115.13,115.48,32909400,2010300693
33,2018-09-23,122.27,127.71,120.82,122.5,53467200,2008840739
34,2018-09-22,123.54,125.21,118.0,122.22,29282500,2029349073
35,2018-09-21,116.13,124.24,115.77,123.74,46774300,1907303564
36,2018-09-20,109.53,116.3,109.53,116.28,37921600,1798588474
37,2018-09-19,112.49,112.93,106.06,109.51,35204700,1846885058
38,2018-09-18,106.61,113.0,104.58,112.45,35111400,1750040911
39,2018-09-17,117.5,120.21,107.19,107.19,40377800,1928508891
40,2018-09-16,118.77,118.77,113.78,117.04,34245700,1948995098
41,2018-09-15,116.72,122.22,116.38,119.4,38659300,1914963334
42,2018-09-14,112.13,117.37,109.85,116.97,43837300,1839398088
43,2018-09-13,104.6,116.13,104.6,112.03,42702500,1715531423
44,2018-09-12,105.85,106.01,97.58,104.32,37938300,1735716340
45,2018-09-11,106.0,109.2,102.17,105.64,32241000,1737860474
46,2018-09-10,105.97,109.15,104.46,105.64,33801900,1737141903
47,2018-09-09,104.29,110.73,101.46,106.22,38884300,1709303035
48,2018-09-08,111.89,114.94,102.17,104.33,29966300,1833563891
49,2018-09-07,117.2,119.75,110.97,111.88,34706300,1920217147
50,2018-09-06,115.55,117.97,108.82,117.49,47806200,1892846581
51,2018-09-05,137.88,140.1,115.06,115.06,54877800,2258348884
52,2018-09-04,135.14,139.79,134.86,137.95,52929600,2213053585
53,2018-09-03,120.11,135.58,119.27,135.56,53805800,1966489459
